New Stock Screen
2026-06-06

Ticker,Name,Last,Rank,MktCap,ccFIGI,PeriodDateQ,SectorCode,IndCode,Pr4W%Chg,SalesGr%TTM,EPSExclXorGr%TTM,PEExclXorTTM,ProjPECurFY,PEGLT,Yield,
KTOS,"Kratos Defense & Security Solutions, Inc.",58.52,78.40,10929.06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
BMRN,"BioMarin Pharmaceutical, Inc.",56.77,78.37,10900.67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CCK,"Crown Holdings, Inc.",93.38,78.35,10868.70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
WYNN,Wynn Resorts Ltd.,104.48,78.32,10863.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CR,Crane Co.,188.86,78.30,10859.67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
WLK,Westlake Corp.,84.64,78.27,10857.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
BXP,"BXP, Inc.",62.33,78.25,10849.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
AAON,"AAON, Inc.",132.62,78.22,10812.60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
GMED,"Globus Medical, Inc.",80.00,78.20,10804.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
DPZ,"Domino's Pizza, Inc.",313.99,78.17,10752.48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
R,"Ryder System, Inc.",265.22,78.15,10708.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
GIL,"Gildan Activewear, Inc.",57.61,78.12,10674.52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
FRT,Federal Realty Investment Trust,122.56,78.10,10637.83,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PODD,Insulet Corp.,153.22,78.07,10612.73,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
WTRG,"Essential Utilities, Inc.",37.36,78.05,10584.23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
ERIE,Erie Indemnity Co.,227.22,78.02,10581.72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
EGP,"EastGroup Properties, Inc.",198.21,78.00,10571.37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
UHAL,U-Haul Holding Co.,57.55,77.97,10564.12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SFD,"Smithfield Foods, Inc.",26.87,77.95,10562.94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
MUSA,"Murphy USA, Inc.",546.51,77.92,10543.46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
MICC,The Magnum Ice Cream Co. N.V.,17.07,77.90,10516.49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
VMI,"Valmont Industries, Inc.",533.80,77.87,10515.67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
FIVE,"Five Below, Inc.",190.46,77.85,10505.49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
EHC,Encompass Health Corp.,104.01,77.82,10483.89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
MP,MP Materials Corp.,59.18,77.80,10478.93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
WTS,"Watts Water Technologies, Inc.",314.21,77.77,10470.39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
AES,The AES Corp.,14.67,77.75,10446.81,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
POWL,"Powell Industries, Inc.",284.87,77.72,10369.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
GSAT,"Globalstar, Inc.",81.49,77.70,10336.06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
TIMB,TIM SA (Brazil),21.57,77.67,10298.60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SAIL,"SailPoint, Inc.",18.24,77.65,10244.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
WTFC,Wintrust Financial Corp.,152.90,77.62,10237.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
ARWR,"Arrowhead Pharmaceuticals, Inc.",73.09,77.60,10234.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SUZ,Suzano SA,8.18,77.57,10212.23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CGNX,Cognex Corp.,60.82,77.55,10193.31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
AM,Antero Midstream Corp.,21.52,77.52,10180.70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
HBM,"Hudbay Minerals, Inc.",25.66,77.50,10175.73,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CNM,"Core & Main, Inc.",51.97,77.47,10155.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
EMBJ,Embraer SA,56.68,77.45,10154.68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
WMS,"Advanced Drainage Systems, Inc.",130.15,77.42,10138.11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PAYP,PayPay Corp.,15.08,77.40,10082.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
OKLO,"Oklo, Inc.",58.09,77.37,10082.61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
BSY,"Bentley Systems, Inc.",32.93,77.35,9985.91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
BAX,"Baxter International, Inc.",19.38,77.32,9962.40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
BPOP,"Popular, Inc.",153.07,77.30,9947.83,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
FROG,JFrog Ltd.,84.00,77.27,9938.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CART,"Maplebear, Inc.",41.26,77.25,9927.78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
GTLS,"Chart Industries, Inc.",207.31,77.22,9923.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
FCFS,"FirstCash Holdings, Inc.",225.44,77.20,9915.91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
AHR,"American Healthcare REIT, Inc.",47.48,77.17,9907.12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
HL,Hecla Mining Co.,14.78,77.15,9902.36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
RGC,Regencell Bioscience Holdings Ltd.,19.99,77.12,9884.83,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
GLXY,"Galaxy Digital, Inc.",25.14,77.10,9875.20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
UMBF,UMB Financial Corp.,129.92,77.07,9868.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
ENSG,"The Ensign Group, Inc.",170.30,77.05,9864.59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
OGE,OGE Energy Corp.,47.80,77.02,9821.54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
MOH,"Molina Healthcare, Inc.",190.86,77.00,9810.20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
TTD,"The Trade Desk, Inc.",19.95,76.97,9804.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
ALV,"Autoliv, Inc.",127.56,76.95,9797.53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
OC,Owens Corning,119.20,76.92,9797.26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
HMY,Harmony Gold Mining Co. Ltd.,15.71,76.90,9797.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
HLI,"Houlihan Lokey, Inc.",139.25,76.87,9797.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PSO,Pearson PLC,15.56,76.85,9792.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SCI,Service Corp. International,69.68,76.82,9772.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
GME,GameStop Corp.,21.80,76.80,9751.93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
LINE,"Lineage, Inc.",42.63,76.77,9744.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
KLAR,Klarna Group plc,16.36,76.75,9722.26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
ESI,"Element Solutions, Inc.",39.84,76.72,9704.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SNAP,"Snap, Inc.",5.76,76.70,9690.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
ALSN,"Allison Transmission Holdings, Inc.",115.75,76.67,9678.64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
DCI,"Donaldson Co., Inc.",83.65,76.65,9647.91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
BAH,Booz Allen Hamilton Holding Corp.,79.48,76.62,9641.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
MASI,Masimo Corp.,178.82,76.60,9605.13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
AGX,"Argan, Inc.",694.72,76.57,9595.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
FDS,"FactSet Research Systems, Inc.",255.62,76.55,9483.31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
BRX,"Brixmor Property Group, Inc.",30.98,76.52,9482.98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
ORI,Old Republic International Corp.,38.16,76.50,9481.61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
DDS,"Dillard's, Inc.",606.27,76.47,9465.67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
DOCU,"DocuSign, Inc.",47.26,76.45,9464.89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SSB,SouthState Bank Corp.,95.32,76.42,9449.85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
TX,Ternium SA,48.02,76.40,9426.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
ACM,AECOM,71.14,76.37,9422.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
JKHY,"Jack Henry & Associates, Inc.",130.11,76.35,9416.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
DAR,"Darling Ingredients, Inc.",59.45,76.32,9404.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
ONB,Old National Bancorp,23.96,76.30,9388.85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
FLS,Flowserve Corp.,73.50,76.27,9342.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
ZION,Zions Bancorporation NA,63.23,76.25,9335.34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
RRC,Range Resources Corp.,39.10,76.22,9313.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
MSGS,Madison Square Garden Sports Corp.,386.23,76.20,9292.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
AYI,"Acuity, Inc.",302.04,76.17,9255.97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CUBE,CubeSmart,40.31,76.15,9236.60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
JOBY,"Joby Aviation, Inc.",9.55,76.12,9212.38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
TKR,The Timken Co.,131.83,76.10,9181.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
VSAT,"ViaSat, Inc.",67.18,76.07,9174.70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
AVAV,"AeroVironment, Inc.",185.92,76.05,9173.76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
LUMN,"Lumen Technologies, Inc. (Louisiana)",8.91,76.02,9138.49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
BROS,"Dutch Bros, Inc.",55.52,76.00,9135.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
RIOT,"Riot Platforms, Inc.",24.66,75.97,9114.91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
IAG,IAMGOLD Corp.,15.42,75.95,9112.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
LGN,Legence Corp.,83.69,75.92,9106.98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
FRHC,Freedom Holding Corp.,148.51,75.90,9102.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SIRI,"SiriusXM Holdings, Inc.",27.01,75.87,9095.36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SNEX,"StoneX Group, Inc.",115.54,75.85,9092.42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
QRVO,"Qorvo, Inc.",98.28,75.82,9080.77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
UHS,"Universal Health Services, Inc.",145.17,75.80,9068.77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
BMNR,"Bitmine Immersion Technologies, Inc.",15.90,75.77,9056.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
W,"Wayfair, Inc.",68.35,75.75,9021.96,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
FORM,"FormFactor, Inc.",116.70,75.72,8994.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
AMG,"Affiliated Managers Group, Inc.",336.81,75.70,8987.68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
YMM,"Full Truck Alliance Co., Ltd.",8.59,75.67,8984.23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CTRE,"CareTrust REIT, Inc.",37.97,75.65,8970.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CFR,"Cullen/Frost Bankers, Inc.",140.16,75.62,8961.98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CRL,"Charles River Laboratories International, Inc.",181.34,75.60,8924.73,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
AAL,"American Airlines Group, Inc.",13.50,75.57,8914.11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
MANH,"Manhattan Associates, Inc.",147.64,75.55,8896.53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CYTK,"Cytokinetics, Inc.",71.48,75.52,8894.44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
HSIC,"Henry Schein, Inc.",77.45,75.50,8883.83,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
COLB,"Columbia Banking System, Inc.",29.66,75.47,8873.42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
ARE,"Alexandria Real Estate Equities, Inc.",51.28,75.45,8862.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CIFR,"Cipher Digital, Inc.",22.45,75.42,8829.20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
WAL,Western Alliance Bancorp.,80.15,75.40,8820.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
ADC,Agree Realty Corp.,73.41,75.37,8811.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
LEVI,Levi Strauss & Co.,22.53,75.35,8792.49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
QBTS,"D-Wave Quantum, Inc.",23.85,75.32,8723.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
KRYS,"Krystal Biotech, Inc.",301.00,75.30,8711.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
BVN,Compañía de Minas Buenaventura SAA,30.26,75.27,8704.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
XE,"X-Energy, Inc.",21.42,75.25,8704.36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
AGCO,AGCO Corp.,116.41,75.22,8686.54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SIMO,Silicon Motion Technology Corp.,258.70,75.20,8682.29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SSL,Sasol Ltd.,13.47,75.17,8673.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PRI,"Primerica, Inc.",265.84,75.15,8610.91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CAE,"CAE, Inc.",25.50,75.12,8588.45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
ALGM,"Allegro MicroSystems, Inc.",46.39,75.10,8584.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
BRKR,Bruker Corp.,56.39,75.07,8583.86,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
KT,KT Corp.,18.12,75.05,8578.63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SARO,"StandardAero, Inc.",25.61,75.02,8565.78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
NCLH,Norwegian Cruise Line Holdings Ltd.,18.75,75.00,8536.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
TTC,The Toro Co.,87.21,74.98,8534.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
RYAN,"Ryan Specialty Holdings, Inc.",32.56,74.95,8532.39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
ORA,"Ormat Technologies, Inc.",140.00,74.93,8518.36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
LLYVK,"Liberty Live Holdings, Inc.",93.35,74.90,8513.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
ENS,EnerSys,227.08,74.88,8507.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
NNN,"NNN REIT, Inc.",44.96,74.85,8487.63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
ASR,Grupo Aeroportuario del Sureste SA de CV,282.14,74.83,8465.57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CHWY,"Chewy, Inc.",20.64,74.80,8446.34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
FR,"First Industrial Realty Trust, Inc.",61.58,74.78,8437.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
EQX,Equinox Gold Corp.,10.79,74.75,8436.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
STN,"Stantec, Inc.",73.88,74.73,8423.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
ACI,"Albertsons Cos., Inc.",16.36,74.70,8407.62,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CAVA,"Cava Group, Inc.",72.60,74.68,8396.91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PRMB,Primo Brands Corp.,22.95,74.65,8391.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CRUS,"Cirrus Logic, Inc.",164.40,74.63,8389.40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
HALO,"Halozyme Therapeutics, Inc.",71.53,74.60,8366.58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
TEM,"Tempus AI, Inc.",46.43,74.58,8300.46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
AG,First Majestic Silver Corp.,16.99,74.55,8299.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
ELPC,Companhia Paranaense de Energia,11.21,74.53,8285.29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
OSK,Oshkosh Corp.,130.53,74.50,8256.59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CMC,Commercial Metals Co.,74.15,74.48,8234.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
GGAL,Grupo Financiero Galicia SA,47.81,74.45,8207.09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
EMN,Eastman Chemical Co.,71.84,74.43,8194.77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
BOKF,BOK Financial Corp.,129.22,74.40,8172.86,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CWEN,"Clearway Energy, Inc.",39.74,74.38,8157.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
BLDR,"Builders FirstSource, Inc.",73.64,74.35,8143.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
MTCH,"Match Group, Inc.",34.42,74.33,8125.54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
TECH,Bio-Techne Corp.,51.99,74.30,8100.70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SFM,"Sprouts Farmers Market, Inc.",82.87,74.28,8098.57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
ABVX,Abivax SA,101.53,74.25,8077.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Z,"Zillow Group, Inc.",35.06,74.23,8037.37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
GAP,"Gap, Inc.",21.56,74.20,8018.63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CORZ,"Core Scientific, Inc.",25.85,74.18,8015.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
VIRT,"Virtu Financial, Inc.",52.18,74.15,7981.90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
ZWS,Zurn Elkay Water Solutions Corp.,47.37,74.13,7970.11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
AOS,A. O. Smith Corp.,57.20,74.10,7964.26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
XP,"XP, Inc.",15.34,74.08,7957.53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CBSH,"Commerce Bancshares, Inc. (Missouri)",53.05,74.05,7901.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
VOYA,"Voya Financial, Inc.",86.69,74.03,7859.86,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CAMT,Camtek Ltd.,164.21,74.00,7848.39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
IDA,"IDACORP, Inc.",141.34,73.98,7831.40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
FRO,Frontline Plc,35.17,73.95,7829.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CORT,"Corcept Therapeutics, Inc.",72.62,73.93,7795.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
BIRK,Birkenstock Holding Plc,42.34,73.90,7786.58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
VSH,"Vishay Intertechnology, Inc.",57.20,73.88,7755.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
EDU,"New Oriental Education & Technology Group, Inc.",45.74,73.85,7740.63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
