New Stock Screen
2026-06-06

Ticker,Name,Last,Rank,MktCap,ccFIGI,PeriodDateQ,SectorCode,IndCode,Pr4W%Chg,SalesGr%TTM,EPSExclXorGr%TTM,PEExclXorTTM,ProjPECurFY,PEGLT,Yield,
NFLX,"Netflix, Inc.",82.18,99.18,346977.28,BBG000CL9VN6,2026-03-31,TECH,INTERNET,-6.88,18.57,46.24,26.56,23.07,1.82,0.00,
PG,Procter & Gamble Co.,146.54,99.15,343569.17,BBG000BR2TH3,2026-03-31,NONCYCLICAL,PERSONALCAREPRODUCT,0.33,3.33,8.59,21.43,21.27,5.89,2.97,
KO,The Coca-Cola Co.,79.48,99.13,341891.89,BBG000BMX289,2026-03-31,NONCYCLICAL,FOODDRINKMFR,1.34,6.74,27.17,25.02,24.31,5.35,2.67,
MS,Morgan Stanley,211.93,99.10,338311.41,BBG000BLZRJ2,2026-03-31,FINANCIAL,INVESTSVCE,11.44,16.32,29.55,19.19,17.83,2.07,1.89,
PLTR,"Palantir Technologies, Inc.",135.53,99.08,324143.78,BBG000N7QR55,2026-03-31,BIZSVCE,PROSVCE,-1.11,67.71,287.60,152.69,92.87,1.61,0.00,
HSBC,HSBC Holdings PLC,90.80,99.05,314835.11,BBG000C1K7N0,2026-03-31,FINANCIAL,BANKSINTL,2.06,-6.12,12.49,14.84,10.81,1.65,4.13,
GS,"The Goldman Sachs Group, Inc.",1038.68,99.03,311529.75,BBG000C6CFJ5,2026-03-31,FINANCIAL,INVESTSVCE,12.18,2.63,26.99,18.98,17.52,1.75,1.73,
HD,"The Home Depot, Inc.",310.78,99.00,309385.05,BBG000BKZB36,2026-04-30,CYCLICALS,HOMEIMPROVE,-3.68,2.23,-4.45,22.07,20.79,2.28,3.00,
MRK,"Merck & Co., Inc.",120.79,98.98,299803.50,BBG000BPD168,2026-03-31,HEALTHCARE,BIOPHARMANONSYS,7.56,2.70,-48.27,33.99,23.51,3.63,2.81,
BABA,Alibaba Group Holding Ltd.,121.06,98.95,289860.28,BBG006G2JVL2,2026-03-31,NONCYCLICAL,GENMERCH,-14.14,4.44,-16.38,18.89,18.90,N/A,0.87,
AZN,Astrazeneca PLC,185.95,98.93,288730.07,BBG000D3MHB4,2026-03-31,HEALTHCARE,BIOPHARMAOTHER,1.88,9.93,33.66,27.75,18.10,5.21,1.72,
PM,"Philip Morris International, Inc.",178.29,98.90,277533.12,BBG000J2XL74,2026-03-31,NONCYCLICAL,TOBACCO,4.20,8.48,45.92,25.11,21.24,2.03,3.30,
RY,Royal Bank of Canada,194.04,98.88,270845.11,BBG000BSSC44,2026-04-30,FINANCIAL,BANKSINTL,7.00,3.00,23.83,17.37,16.66,1.46,2.61,
NVS,Novartis AG,149.16,98.85,270108.85,BBG000LYF3S8,2026-03-31,HEALTHCARE,BIOPHARMAOTHER,2.59,5.60,9.67,21.12,17.09,2.78,3.18,
DELL,"Dell Technologies, Inc.",394.39,98.83,266873.06,BBG00DW3SZS1,2026-01-31,TECH,COMPUTER,71.27,19.12,40.21,45.24,21.98,1.01,0.64,
IBM,International Business Machines Corp.,284.84,98.80,266249.96,BBG000BLNNH6,2026-03-31,TECH,TECHCONSULTSVCE,23.14,9.67,94.53,25.19,22.91,4.10,2.37,
WFC,Wells Fargo & Co.,81.94,98.78,262489.98,BBG000BWQFY7,2026-03-31,FINANCIAL,BANKSUSA,3.51,1.28,16.34,12.65,11.71,0.92,2.20,
TXN,Texas Instruments Incorporated,285.06,98.75,259012.07,BBG000BVV7G1,2026-03-31,TECH,SEMIMFR,-0.06,14.89,10.75,48.77,37.19,2.14,1.99,
KLAC,KLA Corp.,1929.20,98.73,255120.18,BBG000BMTFR4,2026-03-31,TECH,SEMIEQUIPSVCE,9.41,13.43,28.56,54.54,52.09,2.07,0.48,
GEV,"GE Vernova, Inc.",933.61,98.70,251006.86,BBG013G17W31,2026-03-31,INDUSTRIAL,ELECTREQUIP,-10.71,10.15,389.82,27.20,31.83,3.04,0.21,
RTX,RTX Corp.,180.99,98.68,242940.64,BBG000BW8S60,2026-03-31,INDUSTRIAL,AERODEF,2.38,10.56,56.46,33.92,26.06,2.50,1.61,
SHEL,Shell Plc,85.40,98.65,240682.62,BBG0147BN6G2,2026-03-31,ENERGY,OILGASINTEG,1.38,-5.34,47.93,13.17,8.40,0.55,3.46,
LIN,Linde Plc,507.90,98.63,237163.37,BBG01FND0CC1,2026-03-31,MATERIALS,CHEMCOMMOD,2.84,4.96,9.34,33.71,28.38,3.42,1.26,
C,"Citigroup, Inc.",132.47,98.60,237024.08,BBG000FY4S11,2026-03-31,FINANCIAL,INVESTSVCE,2.62,3.02,27.48,16.42,12.18,0.46,1.81,
QCOM,"QUALCOMM, Inc.",215.94,98.58,231271.74,BBG000CGC1X8,2026-03-31,TECH,SEMIMFR,6.61,5.21,-6.38,23.49,20.12,6.48,1.70,
MRVL,"Marvell Technology, Inc.",263.47,98.55,230351.82,BBG00ZXBJ153,2026-04-30,TECH,SEMIMFR,64.66,34.07,609.99,90.04,65.28,1.15,0.09,
SNDK,Sandisk Corp.,1559.32,98.53,230157.13,BBG01R388JG1,2026-03-31,TECH,COMPUTER,16.37,82.76,378.45,54.20,23.90,N/A,0.00,
MUFG,"Mitsubishi UFJ Financial Group, Inc.",19.91,98.50,223665.69,BBG000D4F4F5,2025-12-31,FINANCIAL,BANKSINTL,10.61,-0.93,3.71,17.53,14.01,0.81,2.48,
PANW,"Palo Alto Networks, Inc.",272.05,98.48,221992.79,BBG0014GJCT9,2026-04-30,TECH,SOFTW,38.43,19.51,-30.43,223.78,72.19,4.15,0.00,
SAP,SAP SE,184.77,98.45,217383.60,BBG000BDSLD7,2026-03-31,TECH,SOFTW,5.76,14.77,41.36,24.81,21.85,1.43,1.59,
BHP,BHP Group Ltd.,82.72,98.43,214084.94,BBG000BD5NZ4,2025-12-31,MATERIALS,ORE,0.21,1.04,-9.88,20.47,16.07,1.21,3.22,
AXP,American Express Co.,310.66,98.40,211971.53,BBG000BCQZS4,2026-03-31,FINANCIAL,FINSPECIAL,-2.52,9.41,11.99,19.38,17.56,1.13,1.22,
TM,Toyota Motor Corp.,177.16,98.38,211878.65,BBG000BPH299,2025-12-31,CYCLICALS,VEHICLE,-6.26,9.27,-25.00,9.37,9.24,7.64,3.39,
MCD,McDonald's Corp.,279.84,98.35,199695.06,BBG000BNSZP1,2026-03-31,CONSUMERSVCE,HOSPITALITY,-1.36,6.76,7.01,23.07,21.54,3.25,2.66,
TTE,TotalEnergies SE,88.71,98.33,199426.29,BBG000JLVJ97,2026-03-31,ENERGY,OILGASINTEG,-0.02,-4.00,14.83,12.67,8.28,0.53,4.15,
TMUS,"T-Mobile US, Inc.",178.10,98.30,199206.03,BBG000NDV1D4,2026-03-31,TELECOM,TELECOMWIRE,-8.29,9.48,-8.35,18.94,17.06,0.98,2.29,
ADI,"Analog Devices, Inc.",401.39,98.28,197466.00,BBG000BB6G37,2026-04-30,TECH,SEMIMFR,-1.75,29.75,83.19,59.65,32.71,1.75,1.10,
NVO,Novo Nordisk A/S,42.96,98.25,194834.78,BBG000BQBKR3,2026-03-31,HEALTHCARE,BIOPHARMASYS,-6.20,16.79,26.25,10.07,12.79,5.35,4.19,
ANET,"Arista Networks, Inc.",154.27,98.23,194269.93,BBG000N2HDY5,2026-03-31,TECH,COMMEQUIP,8.83,30.57,23.55,52.82,42.51,2.37,0.00,
PEP,"PepsiCo, Inc.",141.92,98.20,194052.90,BBG000DH7JK6,2026-03-31,NONCYCLICAL,FOODDRINKMFR,-9.19,4.29,-6.38,22.29,16.40,2.83,4.17,
TD,The Toronto-Dominion Bank,113.16,98.18,193241.05,BBG000BXBHJ4,2026-04-30,FINANCIAL,BANKSINTL,5.07,-10.74,-10.02,18.38,16.17,1.18,2.85,
VZ,"Verizon Communications, Inc.",45.37,98.15,191299.21,BBG000HS77T5,2026-03-31,TELECOM,TELECOMWIRE,-3.65,2.85,-2.50,11.06,9.16,1.21,6.24,
STX,Seagate Technology Holdings plc,847.47,98.13,190027.33,BBG0113JGQF0,2026-03-31,TECH,COMPUTER,10.57,28.92,52.23,80.44,56.94,N/A,0.35,
AMGN,"Amgen, Inc.",349.58,98.10,188447.28,BBG000BBS2Y0,2026-03-31,HEALTHCARE,BIOPHARMAOTHER,6.23,9.94,31.26,24.31,15.61,5.74,2.88,
APP,AppLovin Corp.,557.20,98.08,187931.31,BBG006HFPX77,2026-03-31,TECH,SOFTW,11.69,20.04,104.69,49.15,34.66,1.07,0.00,
SAN,Banco Santander SA,12.15,98.05,181152.88,BBG000BTJS47,2026-03-31,FINANCIAL,BANKSINTL,-0.25,-14.46,36.76,9.57,10.17,0.81,2.29,
TJX,"The TJX Cos., Inc.",160.71,98.03,178860.39,BBG000BV8DN6,2026-04-30,NONCYCLICAL,GENMERCH,4.03,8.06,21.38,31.22,30.70,3.40,1.19,
NEE,"NextEra Energy, Inc.",85.84,98.00,178771.20,BBG000BJSBJ0,2026-03-31,UTIL,ENERGYUTIL,-8.02,11.51,47.29,21.79,21.20,2.55,2.90,
WDC,Western Digital Corp.,511.72,97.98,178528.05,BBG000BWNFZ9,2026-03-31,TECH,COMPUTER,10.31,-18.43,218.52,30.55,51.32,0.60,0.12,
TMO,"Thermo Fisher Scientific, Inc.",472.80,97.95,177634.77,BBG000BVDLH9,2026-03-31,HEALTHCARE,HCAREMISC,-0.35,5.36,6.74,25.99,19.02,2.92,0.40,
DIS,The Walt Disney Co.,99.71,97.93,176638.25,BBG000BH4R78,2026-03-31,CONSUMERSVCE,MEDIAPUB,-8.24,4.02,27.65,15.95,14.62,1.71,1.50,
RIO,Rio Tinto Plc,100.69,97.90,173881.58,BBG000FD28T3,2025-12-31,MATERIALS,ORE,-2.35,7.59,-13.65,16.38,11.92,3.83,3.99,
CRWD,"CrowdStrike Holdings, Inc.",671.02,97.88,168395.92,BBG00BLYKS03,2026-04-30,TECH,SOFTW,32.69,23.17,73.02,N/A,135.97,3.39,0.00,
APH,Amphenol Corp.,138.81,97.85,167904.45,BBG000B9YJ35,2026-03-31,TECH,COMPONENTS,1.60,54.40,68.64,39.89,29.23,1.38,0.72,
BA,The Boeing Co.,215.45,97.83,163762.56,BBG000BCSST7,2026-03-31,INDUSTRIAL,AERODEF,-6.74,32.74,110.84,110.77,N/A,7.66,0.00,
T,"AT&T, Inc.",22.75,97.80,163699.95,BBG000BSJK37,2026-03-31,TELECOM,TELECOMWIRE,-9.94,2.92,83.07,7.63,9.85,1.18,4.88,
UNP,Union Pacific Corp.,272.32,97.78,162704.57,BBG000BW3299,2026-03-31,INDUSTRIAL,TRAINTRUCK,2.80,1.87,9.44,22.42,21.61,2.43,2.03,
BLK,"BlackRock, Inc.",995.60,97.75,162540.32,BBG01PSW2WN4,2026-03-31,FINANCIAL,INVESTSVCE,-6.76,22.84,-5.83,25.68,18.73,1.19,2.30,
SCHW,The Charles Schwab Corp.,88.84,97.73,161264.07,BBG000BSLZY7,2026-03-31,FINANCIAL,INVESTSVCE,-0.74,8.11,53.29,17.62,14.45,0.80,1.44,
GILD,"Gilead Sciences, Inc.",129.16,97.70,160341.88,BBG000CKGBP2,2026-03-31,HEALTHCARE,BIOPHARMANONSYS,-3.66,3.83,54.54,17.57,N/A,N/A,2.54,
ABT,Abbott Laboratories,91.07,97.68,158359.07,BBG000B9ZXB4,2026-03-31,HEALTHCARE,MEDDEVICESGEN,4.67,6.59,-53.44,25.37,16.64,2.14,2.77,
